homeid,provenance,provenancedetail,energytype,date,reading
223,technician,installation_visit,gas,2017-10-18,9208
224,technician,installation_visit,electricity,2017-10-24,78755
224,technician,installation_visit,gas,2017-10-24,26345
224,technician,repair_visit,electricity,2018-04-03,79947
224,technician,repair_visit,gas,2018-04-03,26885
225,technician,installation_visit,electricity,2017-10-24,35105
225,technician,installation_visit,gas,2017-10-24,2273
226,technician,installation_visit,electricity,2017-10-25,630
226,technician,installation_visit,gas,2017-10-25,6964
228,technician,installation_visit,electricity,2017-10-27,42898
228,technician,installation_visit,gas,2017-10-27,4286
229,technician,installation_visit,gas,2017-10-30,51726
230,technician,installation_visit,electricity,2017-10-30,75384
230,technician,installation_visit,gas,2017-10-30,10900
231,technician,installation_visit,electricity,2017-10-30,56218
231,technician,installation_visit,gas,2017-10-30,419
232,technician,installation_visit,electricity,2017-10-30,58017
232,technician,installation_visit,gas,2017-10-30,21689
233,technician,installation_visit,electricity,2017-11-01,58017
233,technician,installation_visit,gas,2017-11-01,21689
234,technician,installation_visit,electricity,2017-11-01,12564
234,technician,installation_visit,gas,2017-11-01,3617
235,technician,installation_visit,electricity,2017-11-28,883
235,technician,installation_visit,gas,2017-11-28,21567
235,technician,repair_visit,electricity,2018-01-15,14587
235,technician,repair_visit,gas,2018-01-15,8206
236,technician,installation_visit,electricity,2017-11-01,9174
236,technician,installation_visit,gas,2017-11-01,2525
237,technician,installation_visit,electricity,2017-11-02,51064
237,technician,installation_visit,gas,2017-11-02,5519
238,technician,installation_visit,electricity,2017-11-03,17521
238,technician,installation_visit,gas,2017-11-03,2496
239,technician,installation_visit,electricity,2017-11-14,17292
239,technician,installation_visit,gas,2017-11-14,3367
240,technician,installation_visit,electricity,2017-11-06,5299
240,technician,installation_visit,gas,2017-11-06,1803
241,technician,installation_visit,electricity,2017-11-07,39002
241,technician,installation_visit,gas,2017-11-07,16227
242,technician,installation_visit,electricity,2017-11-07,61369
242,technician,installation_visit,gas,2017-11-07,1692
243,technician,installation_visit,electricity,2017-11-07,56131
243,technician,installation_visit,gas,2017-11-07,11879
244,technician,installation_visit,electricity,2017-11-08,214968
244,technician,installation_visit,gas,2017-11-08,9029
245,technician,installation_visit,electricity,2017-11-09,23663
245,technician,installation_visit,gas,2017-11-09,27224
246,technician,installation_visit,electricity,2017-11-09,70957
246,technician,installation_visit,gas,2017-11-09,6915
247,technician,installation_visit,electricity,2017-11-13,2198
247,technician,installation_visit,gas,2017-11-13,819
248,technician,installation_visit,electricity,2017-11-13,91688
248,technician,installation_visit,gas,2017-11-13,5842
249,technician,installation_visit,electricity,2017-11-13,7036
249,technician,installation_visit,gas,2017-11-13,4029
250,technician,installation_visit,electricity,2017-11-17,67392
250,technician,installation_visit,gas,2017-11-17,5121
251,technician,installation_visit,electricity,2017-11-17,92027
251,technician,installation_visit,gas,2017-11-17,13537
252,technician,installation_visit,electricity,2017-11-21,7860
252,technician,installation_visit,gas,2017-11-21,4044
253,technician,installation_visit,electricity,2017-12-07,883
253,technician,installation_visit,gas,2017-12-07,21567
254,technician,installation_visit,electricity,2017-11-21,2834
254,technician,installation_visit,gas,2017-11-21,37384
255,technician,installation_visit,gas,2017-12-07,18128
256,technician,installation_visit,electricity,2017-11-27,96886
256,technician,installation_visit,gas,2017-11-27,18915
257,technician,installation_visit,electricity,2017-11-29,42251
257,technician,installation_visit,gas,2017-11-29,7996
258,technician,installation_visit,electricity,2017-11-29,37952
258,technician,installation_visit,gas,2017-11-29,17863
259,technician,installation_visit,electricity,2017-12-11,91795
259,technician,installation_visit,gas,2017-12-11,15648
260,technician,installation_visit,electricity,2017-11-30,46137
260,technician,installation_visit,gas,2017-11-30,8307
261,technician,installation_visit,electricity,2017-12-04,33938
261,technician,installation_visit,gas,2017-12-04,17735
262,technician,installation_visit,electricity,2017-12-04,18471
262,technician,installation_visit,gas,2017-12-04,5202
262,technician,repair_visit,electricity,2018-01-09,18727
262,technician,repair_visit,gas,2018-01-09,5282
263,technician,installation_visit,electricity,2017-12-06,38852
263,technician,installation_visit,gas,2017-12-06,7068
264,technician,installation_visit,electricity,2017-12-06,76693
264,technician,installation_visit,gas,2017-12-06,6803
265,technician,installation_visit,electricity,2017-12-11,33920
265,technician,installation_visit,gas,2017-12-11,22863
266,technician,installation_visit,electricity,2017-12-07,80862
266,technician,installation_visit,gas,2017-12-07,36596
267,technician,installation_visit,electricity,2017-12-07,22250
267,technician,installation_visit,gas,2017-12-07,8855
268,technician,installation_visit,electricity,2017-12-08,18272
268,technician,installation_visit,gas,2017-12-08,1469
269,technician,installation_visit,electricity,2017-12-14,37544
269,technician,installation_visit,gas,2017-12-14,16725
269,technician,repair_visit,electricity,2018-01-16,38398
269,technician,repair_visit,gas,2018-01-16,17425
